ISO,PPP_all
ARG,0.512858496524331
AUS,1.3736174011749955
AUT,1.3364026810281522
BGD,0.35568992537054506
BEL,1.4327812048655921
BOL,0.32281806458001067
BWA,0.6552978413323138
BRA,0.7384133033895831
BGR,0.49800655167136687
KHM,0.39851055109692624
CMR,0.5305327338099839
CAN,1.2600974147321702
CHL,0.7492477418230599
CHN,0.3701649961316963
HKG,0.8987451082501107
COL,0.6141493277536053
CRI,0.5645850153013686
HRV,0.8941917810087753
CYP,1.1761789627110588
CZE,0.683079525604421
DNK,1.8211380911089474
ECU,0.561989387994501
EGY,0.36664252988058577
EST,0.780113904712667
ETH,0.3494690686145576
FIN,1.456007534888561
FRA,1.4228923268934792
DEU,1.3451903136291257
GHA,0.5521948962692451
GRC,1.10381065528747
HUN,0.7530265919272148
ISL,2.0650070523101087
IND,0.3366304887638703
IDN,0.42453738209414066
IRL,1.7283847829199361
ISR,1.0802245010562233
ITA,1.2838028929123848
JPN,1.562027212457383
KEN,0.3942684880215502
LAO,0.3282954781369222
LVA,0.7212375785250899
LTU,0.6965597854877766
LUX,1.5588672757101532
MWI,0.5084241334551638
MYS,0.5060911691506362
MUS,0.5939255478792618
MEX,0.8796311965543
MAR,0.6135432715711479
MMR,0.21896596489275563
NAM,0.81664174902444
NPL,0.3298697799890861
NLD,1.502146039217854
NZL,1.4201003463815307
NGA,0.6029488414911182
MKD,0.5133521495799358
NOR,1.8580188286201054
PAK,0.31790439505069634
PER,0.6235443433413944
PHL,0.43917127431734704
POL,0.7311795137915716
PRT,1.0988776282999302
KOR,0.9064021296120295
ROU,0.6235098825176327
RUS,0.5359164338288886
RWA,0.4500633070109905
SEN,0.521935770685393
SGP,0.8063573929471929
SVK,0.6603683960780624
SVN,0.8879876825526483
ZAF,0.7077755566971815
ESP,1.181253267440722
LKA,0.34049359844031807
SWE,1.6556906452488753
CHE,1.9099158176353956
THA,0.4084689100590121
TUN,0.5774328384342026
TUR,0.7981891106923128
UGA,0.3504779779416107
GBR,1.601114917707403
USA,1.356814361688723
VNM,0.3490527541243129
ZMB,0.6337266101671265
